author,rating,text,date,source,hotelName,userLocation,stayDate,travelerType,roomInfo
,10,,2025-01-05T05:39:34.000Z,Booking.com,,Romania,,Family,Superior Apartment
,9,,2025-02-01T21:13:30.000Z,Booking.com,,South Africa,,Family,Superior Apartment
,10,,2025-01-05T05:46:06.000Z,Booking.com,,Romania,,Family,Superior Apartment
,10,,2024-11-09T19:15:21.000Z,Booking.com,,United Arab Emirates,,Family,Superior Apartment
,5,,2024-11-03T18:32:51.000Z,Booking.com,,Belarus,,Family,Superior Apartment
,10,,2024-10-17T09:03:26.000Z,Booking.com,,Netherlands,,Group,Superior Apartment
,10,,2024-10-16T17:07:40.000Z,Booking.com,,United Kingdom,,Group,Superior Apartment
,9,,2024-10-08T08:27:45.000Z,Booking.com,,South Africa,,Family,Superior Apartment
,8,,2024-10-02T19:00:02.000Z,Booking.com,,Poland,,Family,Superior Apartment
,10,,2024-09-27T17:46:26.000Z,Booking.com,,Vietnam,,Group,Superior Apartment
,9,,2024-09-04T13:31:34.000Z,Booking.com,,United States,,Family,Superior Apartment
,9,,2024-08-30T21:24:29.000Z,Booking.com,,United States,,Couple,Superior Apartment
,9,,2024-08-03T17:52:20.000Z,Booking.com,,Belgium,,Family,Superior Apartment
,8,,2024-07-17T06:53:59.000Z,Booking.com,,France,,Couple,Superior Apartment
,9,,2024-06-25T17:47:37.000Z,Booking.com,,France,,Family,Superior Apartment
,10,,2024-05-10T05:56:14.000Z,Booking.com,,Czech Republic,,Couple,Superior Apartment
,10,,2023-07-26T11:24:35.000Z,Booking.com,,Hong Kong,,Solo traveler,Superior Apartment
,10,,2023-02-21T07:55:02.000Z,Booking.com,,Turkey,,Family,Superior Apartment
,10,,2023-02-11T09:48:41.000Z,Booking.com,,China,,Solo traveler,Superior Apartment
,10,,2022-12-03T18:26:37.000Z,Booking.com,,Turkey,,Family,Superior Apartment
,10,,2022-11-29T15:22:30.000Z,Booking.com,,United Arab Emirates,,Family,Superior Apartment
,10,,2022-11-20T10:19:58.000Z,Booking.com,,United Arab Emirates,,Family,Superior Apartment
,10,,2022-08-17T15:02:28.000Z,Booking.com,,Russia,,Solo traveler,Superior Apartment
,10,,2022-04-16T13:25:38.000Z,Booking.com,,India,,Family,Superior Apartment
,10,,2025-01-16T06:52:55.000Z,Booking.com,,Russia,,Group,Superior Apartment
,8,,2025-01-08T17:05:17.000Z,Booking.com,,Japan,,Solo traveler,Superior Apartment
,10,,2024-12-13T11:53:19.000Z,Booking.com,,Russia,,Couple,Superior Apartment
,10,,2024-12-06T05:15:34.000Z,Booking.com,,Russia,,Family,Superior Apartment
,10,,2024-11-17T15:33:46.000Z,Booking.com,,Russia,,Group,Superior Apartment
,10,,2024-10-29T07:49:00.000Z,Booking.com,,Netherlands,,Family,Superior Apartment
,10,,2024-10-12T06:15:53.000Z,Booking.com,,Russia,,Family,Superior Apartment
,10,,2024-10-06T16:10:11.000Z,Booking.com,,Russia,,Group,Superior Apartment
,10,,2024-10-06T12:16:05.000Z,Booking.com,,Ukraine,,Group,Superior Apartment
,10,,2024-09-27T16:55:33.000Z,Booking.com,,Spain,,Couple,Superior Apartment
,10,,2024-09-22T20:01:20.000Z,Booking.com,,Russia,,Couple,Superior Apartment
,9,,2024-09-11T11:07:32.000Z,Booking.com,,Switzerland,,Family,Superior Apartment
,10,,2024-09-08T17:26:05.000Z,Booking.com,,Czech Republic,,Couple,Superior Apartment
,10,,2024-09-07T06:06:45.000Z,Booking.com,,Russia,,Family,Superior Apartment
,9,,2024-08-22T11:51:17.000Z,Booking.com,,Italy,,Couple,Superior Apartment
,10,,2024-08-17T16:37:05.000Z,Booking.com,,Russia,,Group,Superior Apartment
,10,,2024-08-12T09:28:15.000Z,Booking.com,,Russia,,Family,Superior Apartment
,9,,2024-08-05T07:49:07.000Z,Booking.com,,Russia,,Family,Superior Apartment
,9,,2024-08-04T10:02:34.000Z,Booking.com,,Czech Republic,,Family,Superior Apartment
,9,,2024-07-12T21:34:13.000Z,Booking.com,,Cyprus,,Family,Superior Apartment
,10,,2024-07-12T17:21:14.000Z,Booking.com,,Poland,,Family,Superior Apartment
,10,,2024-06-15T17:20:04.000Z,Booking.com,,Germany,,Couple,Superior Apartment
,10,,2024-06-15T06:08:59.000Z,Booking.com,,Armenia,,Family,Superior Apartment
,10,,2024-05-22T09:08:49.000Z,Booking.com,,Russia,,Family,Superior Apartment
,7,,2024-05-19T17:09:01.000Z,Booking.com,,Georgia,,Family,Superior Apartment
,10,,2023-09-28T16:08:52.000Z,Booking.com,,Russia,,Group,Superior Apartment
,10,,2023-09-22T15:37:42.000Z,Booking.com,,Austria,,Family,Superior Apartment
,10,,2023-09-21T17:43:03.000Z,Booking.com,,Spain,,Couple,Superior Apartment
,10,,2023-09-04T09:01:42.000Z,Booking.com,,Russia,,Family,Superior Apartment
,10,,2023-09-04T07:51:20.000Z,Booking.com,,Spain,,Couple,Superior Apartment
,10,,2023-08-23T14:37:21.000Z,Booking.com,,Ukraine,,Family,Superior Apartment
,10,,2023-08-22T13:55:50.000Z,Booking.com,,Georgia,,Family,Superior Apartment
,10,,2023-08-07T14:11:04.000Z,Booking.com,,Russia,,Family,Superior Apartment
,10,,2023-08-03T18:20:18.000Z,Booking.com,,Uzbekistan,,Family,Superior Apartment
,5,,2023-07-27T19:46:53.000Z,Booking.com,,Russia,,Group,Superior Apartment
,9,,2023-07-20T22:15:45.000Z,Booking.com,,Armenia,,Family,Superior Apartment
,10,,2023-06-29T06:54:32.000Z,Booking.com,,Georgia,,Family,Superior Apartment
,10,,2023-06-27T13:24:22.000Z,Booking.com,,Egypt,,Family,Superior Apartment
,10,,2023-04-01T10:09:11.000Z,Booking.com,,South Korea,,Family,Superior Apartment
,10,,2023-03-22T05:51:22.000Z,Booking.com,,Georgia,,Family,Superior Apartment
,10,,2023-03-11T17:15:48.000Z,Booking.com,,Georgia,,Family,Superior Apartment
,10,,2023-02-05T15:34:57.000Z,Booking.com,,Russia,,Solo traveler,Superior Apartment
,10,,2023-01-22T22:47:58.000Z,Booking.com,,Israel,,Couple,Superior Apartment
,10,,2023-01-11T16:11:00.000Z,Booking.com,,Russia,,Group,Superior Apartment
,10,,2022-10-31T17:29:59.000Z,Booking.com,,Russia,,Family,Superior Apartment
,8,,2022-09-26T11:26:40.000Z,Booking.com,,Russia,,Family,Superior Apartment
,9,,2022-08-17T11:20:39.000Z,Booking.com,,Netherlands,,Couple,Superior Apartment
,10,,2022-07-30T07:03:42.000Z,Booking.com,,Georgia,,Family,Superior Apartment
,10,,2022-07-28T05:28:53.000Z,Booking.com,,Georgia,,Family,Superior Apartment
,9,,2022-07-06T17:02:30.000Z,Booking.com,,Russia,,Solo traveler,Superior Apartment
,10,,2022-06-19T19:30:53.000Z,Booking.com,,Belarus,,Solo traveler,Superior Apartment
,10,,2025-02-17T08:55:19.000Z,Booking.com,,Georgia,,Solo traveler,Superior Apartment
,10,,2025-01-05T10:38:50.000Z,Booking.com,,Greece,,Family,Superior Apartment
