author,location,rating,reviewTitle,reviewText,reviewDate,checkIn,checkOut,stayDuration,travelerType,roomInfo,hotelResponse,hotelScores,helpfulVotes,language
Virgil,Romania,10,,"Понравилось: My family and I recently had the pleasure of staying at this wonderful apartment. The hosts were incredibly helpful, providing me with all the information I needed to make our stay enjoyable.
The apartment it was fully equipped with everything I need, making it feel like a home away from home. The beds were exceptionally comfortable, ensuring a restful night's sleep after a long day.
One of the highlights of our stay was the breakfast. It was a delightful spread that offered a wide variety of options, catering to all tastes. It was the perfect way to start our day!
Overall, our experience was fantastic, and we would definitely return in the future. Thank you to my wonderful hosts for making my stay so memorable!",2025-01-05T05:39:34.000Z,2024-12-20,2024-12-22,2 ночей,Family,Superior Apartment,Thank you very much. You are the best guests and the best people. ❤️❤️❤️❤️,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
A,South Africa,9,Good value for money,Понравилось: Central location,2025-02-01T21:13:30.000Z,2025-01-29,2025-02-01,3 ночей,Family,Superior Apartment,მადლობა თქვენ❤️❤️❤️,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
Virgil,Romania,10,,"Понравилось: We recently had the pleasure of staying at this wonderful apartment, and I can’t recommend it highly enough! From the moment I arrived, I was greeted with warmth and hospitality. The hosts were incredibly helpful, providing me with all the information I needed to make my stay enjoyable.
The location is the best and the apartment was fully equipped with everything I needed making it feel like a home away from home. The beds were exceptionally comfortable, ensuring a restful night's sleep after a full day 
One of the highlights of my stay was the breakfast. It was a delightful spread that offered a wide variety of options, catering to all tastes. It was the perfect way to start our day!
Overall, our experience was fantastic, and I would definitely return in the future. Thank you to my wonderful hosts for making our stay so enjoyable.",2025-01-05T05:46:06.000Z,2024-12-19,2024-12-20,1 ночей,Family,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
Rejin,United Arab Emirates,10,Pleasant and Quiet stay,Понравилось: Very well maintained in a quite location and close to a street market with affordable rates. Really like this place. If anyone planning to visit Georgia please make this place your staying location. Easy to access all the regions. The owner of the hotel is really welcoming and had a pleasant stay.,2024-11-09T19:15:21.000Z,2024-11-08,2024-11-09,1 ночей,Family,Superior Apartment,"Thank you very much. You were the best guests, good luck and we are waiting for you with your little darling children. 🥰🥰🥰🤝🤝",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
Dzianis_r,Belarus,5,,"Понравилось: The location is superb, the hosts are friendly, the apartment is clean. There's family-style breakfast, which is nice. There are two bedrooms, both quiet and comfortable. It would have been perfect but for the huge plumbing problem which fortunately didn't affect the bedrooms

Не понравилось: There was a massive problem with the plumbing, the kitchen and the bathroom reeked of sewage, it was unbearable. The hosts promised to have it fixed, so hopefully their next guests would enjoy their stay more than we did",2024-11-03T18:32:51.000Z,2024-10-28,2024-10-29,1 ночей,Family,Superior Apartment,"An unforeseen incident happened. The previous guest put prohibited items in the toilet. The drain was blocked, it was not my fault, I solved the problem fortunately, I apologize for this incident. It was not my fault. I did not expect such an assessment. It can happen to everyone. Thank you. For such a bad rating. This composition is very bad. Good luck. ",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,xu
Anna,Netherlands,10,,"Понравилось: Fabulous location, very friendly host, spotlessly clean. Really enjoyed our stay! Thanks very much!",2024-10-17T09:03:26.000Z,2024-10-10,2024-10-11,1 ночей,Group,Superior Apartment,Thank you very much. I am very glad to meet you good people ❤️❤️❤️🙏🙏,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
Mareli,United Kingdom,10,"Beautiful, clean and a delicious breakfast!","Понравилось: Everything we needed and more! 
Right next to the monastery, the property is spotless and friendly. 
Our host was charming, gifting us with local sweets and wine. 
The breakfast was wonderful, served with great care. 
I can’t rate it high enough.",2024-10-16T17:07:40.000Z,2024-10-15,2024-10-16,1 ночей,Group,Superior Apartment,"Thank you very much for such a good rating. I want to say that you were the best, funny and beautiful guests. We are waiting for you with much love. Thank you very much for such a good evaluation. I want to say that you were the best, funny and beautiful guests. We are waiting for you with much love. 🙏🙏🙏❤️❤️",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
Laura,South Africa,9,,"Понравилось: The location in Mtskheta is great to explore on foot. The host was friendly and communication great. We had a comfortable stay.

Не понравилось: Nothing.",2024-10-08T08:27:45.000Z,2024-10-02,2024-10-03,1 ночей,Family,Superior Apartment,მადლობა თქვენ რომ მესტუმრეთ.❤️❤️🙏🙏,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
Marcin,Poland,8,The apartment in strict city center. Highly recommended!,"Понравилось: The apartment is located in a strict city centre and it provides a parking place nearby. Despite the location, it was no problem with noise coming from the street - we could relax and sleep well. The host was very helpful and answered all our questions. We got served very tasty breakfast. We recommend this place in Mccheta.",2024-10-02T19:00:02.000Z,2024-08-17,2024-08-18,1 ночей,Family,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
An,Vietnam,10,,"Понравилось: Good location, nice breakfast, clean and comfortable

Не понравилось: Host very friendly and helpful",2024-09-27T17:46:26.000Z,2024-09-26,2024-09-27,1 ночей,Group,Superior Apartment,Thank you very much for visiting me 🙏🙏❤️❤️,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,1,xu
Tiffany,United States,9,Excellent stay in Mtskheta; looking forward to the next time!,"Понравилось: Great size and spacious apartment. The bathroom was very clean and the water hot. The a/c worked great! We had everything we needed for a comfortable stay. I loved the privacy of the courtyard. The location was absolutely perfect. The hostess was very nice, and she made us feel very welcome. Upon check-in, we were offered breakfast for an additional fee, which was great. We’ve already recommended this guesthouse to our friends.

Не понравилось: There was no tv and just a bit noisy overhead, but thankfully, it was quiet throughout the night, so it wasn’t a problem when sleeping.",2024-09-04T13:31:34.000Z,2024-08-30,2024-08-31,1 ночей,Family,Superior Apartment,❤️❤️❤️,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,xu
