userName,userLocation,rating,reviewDate,checkInDate,checkOutDate,likedText,dislikedText,reviewTitle,travelerType,roomInfo,numberOfNights,propertyResponse,hotelRatingScores,helpfulVotes,reviewLanguage,hotelId,images,aiAnalysis
Virgil,Romania,10,2025-01-05T05:39:34.000Z,2024-12-20,2024-12-22,"My family and I recently had the pleasure of staying at this wonderful apartment. The hosts were incredibly helpful, providing me with all the information I needed to make our stay enjoyable.
The apartment it was fully equipped with everything I need, making it feel like a home away from home. The beds were exceptionally comfortable, ensuring a restful night's sleep after a long day.
One of the highlights of our stay was the breakfast. It was a delightful spread that offered a wide variety of options, catering to all tastes. It was the perfect way to start our day!
Overall, our experience was fantastic, and we would definitely return in the future. Thank you to my wonderful hosts for making my stay so memorable!",,,Family,Superior Apartment,2,Thank you very much. You are the best guests and the best people. ❤️❤️❤️❤️,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,en,8385148,[],"удобство,сервис,завтрак,комфорт,доброжелательность/"
A,South Africa,9,2025-02-01T21:13:30.000Z,2025-01-29,2025-02-01,Central location,,Good value for money,Family,Superior Apartment,3,მადლობა თქვენ❤️❤️❤️,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,en,8385148,[],локация/
Virgil,Romania,10,2025-01-05T05:46:06.000Z,2024-12-19,2024-12-20,"We recently had the pleasure of staying at this wonderful apartment, and I can’t recommend it highly enough! From the moment I arrived, I was greeted with warmth and hospitality. The hosts were incredibly helpful, providing me with all the information I needed to make my stay enjoyable.
The location is the best and the apartment was fully equipped with everything I needed making it feel like a home away from home. The beds were exceptionally comfortable, ensuring a restful night's sleep after a full day 
One of the highlights of my stay was the breakfast. It was a delightful spread that offered a wide variety of options, catering to all tastes. It was the perfect way to start our day!
Overall, our experience was fantastic, and I would definitely return in the future. Thank you to my wonderful hosts for making our stay so enjoyable.",,,Family,Superior Apartment,1,,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,en,8385148,[],"удобство,сервис,завтрак,комфорт,доброжелательность,локация/"
Rejin,United Arab Emirates,10,2024-11-09T19:15:21.000Z,2024-11-08,2024-11-09,Very well maintained in a quite location and close to a street market with affordable rates. Really like this place. If anyone planning to visit Georgia please make this place your staying location. Easy to access all the regions. The owner of the hotel is really welcoming and had a pleasant stay.,,Pleasant and Quiet stay,Family,Superior Apartment,1,"Thank you very much. You were the best guests, good luck and we are waiting for you with your little darling children. 🥰🥰🥰🤝🤝","[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,en,8385148,[],"удобство,комфорт,локация,доброжелательность,сервис/"
Dzianis_r,Belarus,5,2024-11-03T18:32:51.000Z,2024-10-28,2024-10-29,"The location is superb, the hosts are friendly, the apartment is clean. There's family-style breakfast, which is nice. There are two bedrooms, both quiet and comfortable. It would have been perfect but for the huge plumbing problem which fortunately didn't affect the bedrooms","There was a massive problem with the plumbing, the kitchen and the bathroom reeked of sewage, it was unbearable. The hosts promised to have it fixed, so hopefully their next guests would enjoy their stay more than we did",,Family,Superior Apartment,1,"An unforeseen incident happened. The previous guest put prohibited items in the toilet. The drain was blocked, it was not my fault, I solved the problem fortunately, I apologize for this incident. It was not my fault. I did not expect such an assessment. It can happen to everyone. Thank you. For such a bad rating. This composition is very bad. Good luck. ","[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,xu,8385148,[],"локация,доброжелательность,чистота,завтрак,комфорт/п plumbing,запах,сервис"
Anna,Netherlands,10,2024-10-17T09:03:26.000Z,2024-10-10,2024-10-11,"Fabulous location, very friendly host, spotlessly clean. Really enjoyed our stay! Thanks very much!",,,Group,Superior Apartment,1,Thank you very much. I am very glad to meet you good people ❤️❤️❤️🙏🙏,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,en,8385148,[],"локация,доброжелательность,чистота/"
Mareli,United Kingdom,10,2024-10-16T17:07:40.000Z,2024-10-15,2024-10-16,"Everything we needed and more! 
Right next to the monastery, the property is spotless and friendly. 
Our host was charming, gifting us with local sweets and wine. 
The breakfast was wonderful, served with great care. 
I can’t rate it high enough.",,"Beautiful, clean and a delicious breakfast!",Group,Superior Apartment,1,"Thank you very much for such a good rating. I want to say that you were the best, funny and beautiful guests. We are waiting for you with much love. Thank you very much for such a good evaluation. I want to say that you were the best, funny and beautiful guests. We are waiting for you with much love. 🙏🙏🙏❤️❤️","[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,en,8385148,[],"чистота,локация,сервис,завтрак,доброжелательность/"
Laura,South Africa,9,2024-10-08T08:27:45.000Z,2024-10-02,2024-10-03,The location in Mtskheta is great to explore on foot. The host was friendly and communication great. We had a comfortable stay.,Nothing.,,Family,Superior Apartment,1,მადლობა თქვენ რომ მესტუმრეთ.❤️❤️🙏🙏,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,en,8385148,[],"локация,комфорт,доброжелательность,сервис/"
Marcin,Poland,8,2024-10-02T19:00:02.000Z,2024-08-17,2024-08-18,"The apartment is located in a strict city centre and it provides a parking place nearby. Despite the location, it was no problem with noise coming from the street - we could relax and sleep well. The host was very helpful and answered all our questions. We got served very tasty breakfast. We recommend this place in Mccheta.",,The apartment in strict city center. Highly recommended!,Family,Superior Apartment,1,,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,en,8385148,[],"локация,сервис,завтрак,комфорт,доброжелательность/"
An,Vietnam,10,2024-09-27T17:46:26.000Z,2024-09-26,2024-09-27,"Good location, nice breakfast, clean and comfortable",Host very friendly and helpful,,Group,Superior Apartment,1,Thank you very much for visiting me 🙏🙏❤️❤️,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",1,xu,8385148,[],"локация,завтрак,чистота,комфорт,доброжелательность/"
